short flag,argument mask,data type,variable name
o,1,character,report
d,1,character,report.files_path
r,1,character,reads_1
n,1,character,reads_1.name
R,1,character,reads_2
N,1,character,reads_2.name
c,1,character,contaminants
l,1,character,limits
